x_c,y_camber,half_thickness,x_upper,y_upper,x_lower,y_lower
0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.6e-05,5e-06,0.001381,3e-05,0.001384,0.000163,-0.001375
0.000385,1.9e-05,0.002762,0.000253,0.002777,0.000518,-0.00274
0.000867,4.2e-05,0.004144,0.000669,0.004181,0.001066,-0.004097
0.001541,7.4e-05,0.005527,0.001277,0.005594,0.001806,-0.005446
0.002408,0.000115,0.006911,0.002077,0.007018,0.002738,-0.006787
0.003466,0.000166,0.008297,0.003069,0.008453,0.003863,-0.008121
0.004715,0.000226,0.009684,0.004252,0.009899,0.005178,-0.009447
0.006156,0.000295,0.011074,0.005627,0.011357,0.006685,-0.010767
0.007787,0.000373,0.012467,0.007192,0.012825,0.008381,-0.01208
0.009607,0.00046,0.013862,0.008947,0.014306,0.010268,-0.013386
0.011617,0.000556,0.015259,0.010891,0.015798,0.012343,-0.014687
0.013815,0.00066,0.01666,0.013023,0.017301,0.014607,-0.015981
0.0162,0.000774,0.018063,0.015344,0.018817,0.017057,-0.01727
0.018772,0.000896,0.01947,0.017851,0.020344,0.019694,-0.018553
0.02153,0.001026,0.020879,0.020543,0.021882,0.022516,-0.01983
0.024472,0.001165,0.022292,0.023421,0.023432,0.025523,-0.021102
0.027597,0.001313,0.023707,0.026482,0.024993,0.028712,-0.022368
0.030904,0.001468,0.025124,0.029725,0.026565,0.032083,-0.023629
0.034393,0.001632,0.026544,0.03315,0.028147,0.035635,-0.024884
0.03806,0.001803,0.027967,0.036755,0.029739,0.039365,-0.026133
0.041906,0.001983,0.02939,0.040539,0.031341,0.043273,-0.027376
0.045928,0.00217,0.030815,0.0445,0.032952,0.047357,-0.028612
0.050126,0.002364,0.032241,0.048636,0.034571,0.051615,-0.029842
0.054497,0.002566,0.033667,0.052947,0.036197,0.056046,-0.031065
0.059039,0.002775,0.035092,0.057431,0.03783,0.060648,-0.032281
0.063752,0.002991,0.036517,0.062085,0.039469,0.065419,-0.033488
0.068633,0.003213,0.037939,0.066909,0.041113,0.070356,-0.034687
0.07368,0.003442,0.039359,0.071901,0.042761,0.075459,-0.035877
0.078891,0.003677,0.040776,0.077058,0.044412,0.080725,-0.037057
0.084265,0.003918,0.042188,0.082378,0.046064,0.086152,-0.038227
