NACA 64(2)A015
# Section of the untapered wing of Boltz F.W., Kenyon G.C. & Allen C.Q. (1960),
# 'Effects of Sweep Angle on the Boundary-Layer Stability Characteristics of an
# Untapered Wing at Low Speeds', NACA TN D-338 - the independent swept-wing
# validation set.  Six-series laminar-flow section: "64" places the minimum
# pressure at 0.4c, the subscript 2 is a design lift coefficient of 0.2, "A"
# is the modified straight-sided aft, "015" is 15 per cent thickness.
#
# PROVENANCE, stated rather than implied.  These coordinates are NOT
# transcribed from a printed table, as nlf1_0416.dat's are from TP-1861
# Table I; they came in as a standard airfoil-database file, whose own first
# line read "NACA 642-015A AIRFOIL" - a database rendering of the designation,
# not the designation.  What CAN be checked about them is checked, in
# tools/smoke.py: the section is 15.0 per cent thick and its maximum thickness
# sits at 0.400c, which are the two numbers the designation itself asserts.
# Selig order: TE -> upper -> LE -> lower -> TE.
  1.000000  0.000320
  0.950000  0.007950
  0.900000  0.015580
  0.850000  0.023210
  0.800000  0.030840
  0.750000  0.038470
  0.700000  0.046000
  0.650000  0.053110
  0.600000  0.059560
  0.550000  0.065170
  0.500000  0.069780
  0.450000  0.073130
  0.400000  0.074870
  0.350000  0.074630
  0.300000  0.072700
  0.250000  0.069260
  0.200000  0.064230
  0.150000  0.057320
  0.100000  0.047990
  0.075000  0.042020
  0.050000  0.034770
  0.025000  0.025080
  0.012500  0.018150
  0.007500  0.014360
  0.005000  0.011930
  0.000000  0.000000
  0.005000 -0.011930
  0.007500 -0.014360
  0.012500 -0.018150
  0.025000 -0.025080
  0.050000 -0.034770
  0.075000 -0.042020
  0.100000 -0.047990
  0.150000 -0.057320
  0.200000 -0.064230
  0.250000 -0.069260
  0.300000 -0.072700
  0.350000 -0.074630
  0.400000 -0.074870
  0.450000 -0.073130
  0.500000 -0.069780
  0.550000 -0.065170
  0.600000 -0.059560
  0.650000 -0.053110
  0.700000 -0.046000
  0.750000 -0.038470
  0.800000 -0.030840
  0.850000 -0.023210
  0.900000 -0.015580
  0.950000 -0.007950
  1.000000 -0.000320
