eta,surface,X_m,Y_m,Z_m,x_c
0.0,upper,0.0,0.0,0.0,0.0
0.0,upper,0.00132,0.0,0.00965,0.00051
0.0,upper,0.0062,0.0,0.01949,0.00239
0.0,upper,0.01463,0.0,0.02953,0.00563
0.0,upper,0.02658,0.0,0.03978,0.01022
0.0,upper,0.04201,0.0,0.05024,0.01616
0.0,upper,0.06089,0.0,0.06092,0.02342
0.0,upper,0.08317,0.0,0.07181,0.03199
0.0,upper,0.10878,0.0,0.08288,0.04184
0.0,upper,0.13766,0.0,0.09411,0.05295
0.0,upper,0.16974,0.0,0.10547,0.06528
0.0,upper,0.20491,0.0,0.1169,0.07881
0.0,upper,0.24311,0.0,0.12836,0.0935
0.0,upper,0.28422,0.0,0.13977,0.10932
0.0,upper,0.32814,0.0,0.15107,0.12621
0.0,upper,0.37475,0.0,0.16217,0.14413
0.0,upper,0.42393,0.0,0.17299,0.16305
0.0,upper,0.47555,0.0,0.18344,0.18291
0.0,upper,0.52948,0.0,0.19341,0.20365
0.0,upper,0.58558,0.0,0.20282,0.22522
0.0,upper,0.64368,0.0,0.21158,0.24757
0.0,upper,0.70365,0.0,0.21958,0.27063
0.0,upper,0.76531,0.0,0.22673,0.29435
0.0,upper,0.82849,0.0,0.23296,0.31865
0.0,upper,0.89303,0.0,0.23818,0.34347
0.0,upper,0.95875,0.0,0.24234,0.36875
0.0,upper,1.02545,0.0,0.24537,0.3944
0.0,upper,1.09295,0.0,0.24723,0.42037
0.0,upper,1.16106,0.0,0.24789,0.44656
0.0,upper,1.22959,0.0,0.24733,0.47292
0.0,upper,1.29832,0.0,0.24554,0.49936
0.0,upper,1.36708,0.0,0.24254,0.5258
0.0,upper,1.43565,0.0,0.23836,0.55217
0.0,upper,1.50383,0.0,0.23303,0.5784
0.0,upper,1.57144,0.0,0.2266,0.6044
0.0,upper,1.63826,0.0,0.21914,0.6301
0.0,upper,1.70411,0.0,0.21074,0.65543
0.0,upper,1.7688,0.0,0.20147,0.68031
0.0,upper,1.83213,0.0,0.19143,0.70467
0.0,upper,1.89394,0.0,0.18074,0.72844
0.0,upper,1.95405,0.0,0.1695,0.75156
0.0,upper,2.01228,0.0,0.15783,0.77396
0.0,upper,2.06849,0.0,0.14584,0.79557
0.0,upper,2.12251,0.0,0.13367,0.81635
0.0,upper,2.17421,0.0,0.12143,0.83623
0.0,upper,2.22344,0.0,0.10925,0.85517
0.0,upper,2.27009,0.0,0.09724,0.87311
0.0,upper,2.31402,0.0,0.08552,0.89001
0.0,upper,2.35513,0.0,0.0742,0.90582
0.0,upper,2.39333,0.0,0.06338,0.92051
0.0,upper,2.4285,0.0,0.05316,0.93404
0.0,upper,2.46058,0.0,0.04363,0.94638
0.0,upper,2.48949,0.0,0.03488,0.95749
0.0,upper,2.51515,0.0,0.02698,0.96736
0.0,upper,2.53751,0.0,0.02,0.97596
0.0,upper,2.55651,0.0,0.01399,0.98327
0.0,upper,2.57212,0.0,0.00901,0.98928
0.0,upper,2.5843,0.0,0.00509,0.99396
0.0,upper,2.59301,0.0,0.00227,0.99731
0.0,upper,2.59825,0.0,0.00057,0.99933
0.0,upper,2.6,0.0,0.0,1.0
0.0,lower,0.0,0.0,0.0,0.0
0.0,lower,0.00224,0.0,-0.00948,0.00086
0.0,lower,0.00804,0.0,-0.01881,0.00309
0.0,lower,0.01738,0.0,-0.02799,0.00668
0.0,lower,0.03024,0.0,-0.03706,0.01163
0.0,lower,0.04658,0.0,-0.04601,0.01792
0.0,lower,0.06636,0.0,-0.05486,0.02552
0.0,lower,0.08952,0.0,-0.06361,0.03443
0.0,lower,0.116,0.0,-0.07225,0.04461
0.0,lower,0.14572,0.0,-0.08077,0.05605
0.0,lower,0.1786,0.0,-0.08915,0.06869
0.0,lower,0.21454,0.0,-0.09737,0.08252
0.0,lower,0.25345,0.0,-0.10538,0.09748
0.0,lower,0.2952,0.0,-0.11316,0.11354
0.0,lower,0.33969,0.0,-0.12066,0.13065
0.0,lower,0.38677,0.0,-0.12783,0.14876
0.0,lower,0.43633,0.0,-0.13461,0.16782
0.0,lower,0.48821,0.0,-0.14095,0.18777
0.0,lower,0.54227,0.0,-0.14678,0.20857
