layer,y_mm,y_plus,cell_dy_mm,growth_ratio
0,0.0,0.0,0.00651,1.0
1,0.0065,0.8,0.0069,1.0
2,0.0138,1.696,0.00773,1.12
3,0.022,2.6995,0.00866,1.12
4,0.0311,3.8235,0.0097,1.12
5,0.0414,5.0823,0.01086,1.12
6,0.0529,6.4922,0.01217,1.12
7,0.0657,8.0712,0.01363,1.12
8,0.0801,9.8398,0.01526,1.12
9,0.0962,11.8205,0.01709,1.12
10,0.1143,14.039,0.01914,1.12
11,0.1345,16.5237,0.02144,1.12
12,0.1572,19.3065,0.02401,1.12
13,0.1825,22.4233,0.0269,1.12
14,0.211,25.9141,0.03012,1.12
15,0.2428,29.8238,0.03374,1.12
16,0.2784,34.2026,0.03779,1.12
17,0.3184,39.1069,0.04232,1.12
18,0.3631,44.5998,0.0474,1.12
19,0.4132,50.7517,0.05309,1.12
20,0.4693,57.642,0.05946,1.12
21,0.5321,65.359,0.06659,1.12
22,0.6024,74.0021,0.07458,1.12
23,0.6813,83.6823,0.08353,1.12
24,0.7695,94.5242,0.09356,1.12
25,0.8684,106.6671,0.10479,1.12
26,0.9791,120.2671,0.11736,1.12
27,1.1031,135.4992,0.13144,1.12
28,1.242,152.5591,0.14722,1.12
29,1.3975,171.6662,0.16488,1.12
30,1.5717,193.0661,0.18467,1.12
31,1.7669,217.0341,0.20683,1.12
32,1.9854,243.8782,0.23165,1.12
33,2.2302,273.9436,0.25945,1.12
34,2.5043,307.6168,0.29058,1.12
35,2.8113,345.3308,0.32545,1.12
36,3.1552,387.5705,0.3645,1.12
37,3.5403,434.879,0.40824,1.12
38,3.9717,487.8644,0.45723,1.12
39,4.4548,547.2082,0.5121,1.12
40,4.9959,613.6731,0.57355,1.12
41,5.6019,688.1139,0.64238,1.12
42,6.2806,771.4876,0.71946,1.12
43,7.0408,864.8661,0.76019,1.12
