n_surface_panels,Cl,Cd,x_tr_upper_c,theta_at_sy_c,H_at_sy,dCd_pct
120,0.49385,0.0045362,0.539,0.00259,2.019,
180,0.49531,0.0045938,0.5434,0.002609,2.006,1.269
260,0.49617,0.0047307,0.542,0.002834,2.14,2.981
360,0.4967,0.0047975,0.539,0.002829,2.109,1.411
480,0.49705,0.0048867,0.5357,0.002944,2.169,1.859
600,0.49726,0.0048911,0.539,0.002893,2.144,0.09
700,0.49737,0.0049152,0.5379,0.002964,2.21,0.493
900,0.49753,0.0049209,0.5399,0.002909,2.168,0.116
1200,0.49767,0.0049423,0.5403,0.002952,2.143,0.435
1600,0.49777,0.0049522,0.54,0.002986,2.236,0.202
2000,0.49783,0.0049624,0.5398,0.002974,2.243,0.206
2600,0.49789,0.0049749,0.539,0.002999,2.278,0.251
