station,x_c,y_delta,y_mm,u_Ue,T_Te,T_K,Me_edge,H_shape,H_profile,recovery_r,delta_mm,intermittency_gamma,state
x/c=0.10,0.1,0.0,0.0,0.0,1.0478,222.15,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.026,0.0285,0.047,1.0477,222.13,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.051,0.0569,0.0934,1.0474,222.07,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.077,0.0854,0.1394,1.0468,221.96,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.103,0.1139,0.1848,1.0461,221.81,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.128,0.1423,0.2296,1.0453,221.62,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.154,0.1708,0.2737,1.0442,221.4,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.179,0.1993,0.3172,1.043,221.14,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.205,0.2278,0.3598,1.0416,220.84,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.231,0.2562,0.4016,1.0401,220.52,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.256,0.2847,0.4424,1.0384,220.17,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.282,0.3132,0.4821,1.0367,219.8,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.308,0.3416,0.5206,1.0348,219.41,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.333,0.3701,0.5579,1.0329,219.0,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.359,0.3986,0.5939,1.0309,218.58,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.385,0.427,0.6284,1.0289,218.16,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.41,0.4555,0.6613,1.0269,217.72,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.436,0.484,0.6927,1.0249,217.29,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.462,0.5125,0.7224,1.0228,216.87,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.487,0.5409,0.7504,1.0209,216.45,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.513,0.5694,0.7766,1.019,216.05,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.538,0.5979,0.801,1.0171,215.65,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.564,0.6263,0.8237,1.0154,215.28,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.59,0.6548,0.8446,1.0137,214.93,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.615,0.6833,0.8637,1.0121,214.6,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.641,0.7117,0.8811,1.0107,214.29,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.667,0.7402,0.8969,1.0093,214.01,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.692,0.7687,0.9111,1.0081,213.75,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.718,0.7972,0.9237,1.007,213.51,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.744,0.8256,0.935,1.006,213.3,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.769,0.8541,0.9449,1.0051,213.11,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.795,0.8826,0.9536,1.0043,212.94,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.821,0.911,0.9611,1.0036,212.8,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.846,0.9395,0.9676,1.003,212.67,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.872,0.968,0.9732,1.0025,212.56,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.897,0.9964,0.978,1.0021,212.47,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.923,1.0249,0.982,1.0017,212.39,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.949,1.0534,0.9854,1.0014,212.32,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,0.974,1.0818,0.9882,1.0011,212.26,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
x/c=0.10,0.1,1.0,1.1103,0.9906,1.0009,212.22,0.531,2.512,2.526,0.8485,1.1103,0.0,laminar
