x_c,y_c,Cp,Vx_ms,Vy_ms,speed_ms
-0.4,-0.6,0.06071,120.38,4.3142,120.4573
-0.3925,-0.6,0.06101,120.3635,4.2853,120.4398
-0.385,-0.6,0.0613,120.3475,4.2559,120.4227
-0.3775,-0.6,0.06159,120.3318,4.2258,120.406
-0.37,-0.6,0.06187,120.3167,4.1952,120.3898
-0.3625,-0.6,0.06214,120.302,4.164,120.374
-0.355,-0.6,0.0624,120.2878,4.1322,120.3588
-0.3475,-0.6,0.06265,120.2742,4.0999,120.3441
-0.34,-0.6,0.0629,120.2612,4.0669,120.3299
-0.3325,-0.6,0.06313,120.2487,4.0335,120.3163
-0.325,-0.6,0.06335,120.2369,3.9994,120.3034
-0.3175,-0.6,0.06356,120.2257,3.9649,120.291
-0.31,-0.6,0.06376,120.2151,3.9298,120.2793
-0.3025,-0.6,0.06395,120.2053,3.8942,120.2683
-0.295,-0.6,0.06413,120.1962,3.8581,120.2581
-0.2875,-0.6,0.06429,120.1878,3.8215,120.2485
-0.28,-0.6,0.06444,120.1802,3.7844,120.2398
-0.2725,-0.6,0.06458,120.1734,3.7468,120.2318
-0.265,-0.6,0.0647,120.1674,3.7089,120.2247
-0.2575,-0.6,0.06481,120.1623,3.6705,120.2184
-0.25,-0.6,0.0649,120.1581,3.6317,120.213
-0.2425,-0.6,0.06498,120.1548,3.5925,120.2085
-0.235,-0.6,0.06504,120.1524,3.553,120.2049
-0.2275,-0.6,0.06508,120.1509,3.5132,120.2023
-0.22,-0.6,0.06511,120.1505,3.473,120.2007
-0.2125,-0.6,0.06512,120.151,3.4326,120.2001
-0.205,-0.6,0.06512,120.1526,3.392,120.2005
-0.1975,-0.6,0.06509,120.1552,3.3511,120.202
-0.19,-0.6,0.06505,120.1589,3.3101,120.2045
-0.1825,-0.6,0.06498,120.1637,3.2689,120.2082
-0.175,-0.6,0.0649,120.1696,3.2277,120.213
-0.1675,-0.6,0.0648,120.1766,3.1863,120.2189
-0.16,-0.6,0.06468,120.1848,3.145,120.2259
-0.1525,-0.6,0.06454,120.1941,3.1036,120.2342
-0.145,-0.6,0.06438,120.2046,3.0624,120.2436
-0.1375,-0.6,0.06419,120.2163,3.0212,120.2542
-0.13,-0.6,0.06399,120.2291,2.9801,120.266
-0.1225,-0.6,0.06377,120.2432,2.9393,120.2791
-0.115,-0.6,0.06352,120.2584,2.8986,120.2934
-0.1075,-0.6,0.06326,120.2749,2.8583,120.3089
-0.1,-0.6,0.06297,120.2926,2.8183,120.3256
-0.0925,-0.6,0.06266,120.3115,2.7786,120.3436
-0.085,-0.6,0.06233,120.3316,2.7394,120.3627
-0.0775,-0.6,0.06198,120.3529,2.7007,120.3832
-0.07,-0.6,0.06161,120.3754,2.6625,120.4048
-0.0625,-0.6,0.06122,120.399,2.6248,120.4276
-0.055,-0.6,0.0608,120.4239,2.5878,120.4517
-0.0475,-0.6,0.06037,120.4499,2.5514,120.4769
-0.04,-0.6,0.05992,120.4771,2.5158,120.5033
-0.0325,-0.6,0.05944,120.5054,2.4809,120.5309
-0.025,-0.6,0.05895,120.5347,2.4469,120.5596
-0.0175,-0.6,0.05844,120.5652,2.4137,120.5894
-0.01,-0.6,0.0579,120.5967,2.3815,120.6202
-0.0025,-0.6,0.05736,120.6293,2.3502,120.6522
0.005,-0.6,0.05679,120.6628,2.3199,120.6851
0.0125,-0.6,0.0562,120.6973,2.2907,120.719
0.02,-0.6,0.0556,120.7327,2.2626,120.7539
0.0275,-0.6,0.05499,120.769,2.2356,120.7897
0.035,-0.6,0.05435,120.8061,2.2098,120.8263
0.0425,-0.6,0.05371,120.8441,2.1852,120.8638
