x_c,arc_s_m,Re_x,Cp,Ue_ms,Ue_Uinf,theta_mm,H_shape,Cf,Re_theta,Re_theta_trans,n_factor,n_crit,intermittency_gamma,state
0.004894,0.0,0.0,1.02251,0.0001,0.0,1e-05,2.61,8012119.2209436,0.0,570.5,0.0,1.775,0.0,laminar
0.006721,0.00484,25052.0,1.00745,11.274,0.11437,0.04243,2.2057,0.0284764,25.67,617.4,0.0,1.775,0.0,laminar
0.008836,0.010108,52313.0,0.97097,21.2725,0.2158,0.03571,2.2061,0.0179356,40.73,615.8,0.0,1.775,0.0,laminar
0.011238,0.015825,81904.0,0.92337,29.6288,0.30057,0.03704,2.2569,0.0116421,58.8,615.1,0.0,1.775,0.0,laminar
0.013926,0.02201,113916.0,0.87102,36.6949,0.37226,0.03918,2.3265,0.0081319,76.96,615.1,0.0,1.775,0.0,laminar
0.016897,0.028676,148416.0,0.8177,42.7201,0.43338,0.04104,2.3395,0.0065641,93.75,614.8,0.0,1.775,0.0,laminar
0.020152,0.035832,185450.0,0.76548,47.9011,0.48594,0.04336,2.338,0.0055582,110.94,612.7,0.0,1.775,0.0,laminar
0.023686,0.043483,225049.0,0.71548,52.3938,0.53152,0.04625,2.3129,0.0049258,129.31,611.0,0.0,1.775,0.0,laminar
0.027499,0.051633,267234.0,0.66818,56.3223,0.57137,0.05035,2.4127,0.0037001,151.21,610.3,0.0,1.775,0.0,laminar
0.031587,0.060286,312014.0,0.62374,59.7851,0.6065,0.05427,2.4576,0.0030513,172.85,609.5,0.0,1.775,0.0,laminar
0.035949,0.06944,359392.0,0.58211,62.861,0.6377,0.05775,2.4224,0.0028586,193.24,608.3,0.0,1.775,0.0,laminar
0.040582,0.079095,409365.0,0.54316,65.6132,0.66562,0.06116,2.3777,0.0027441,213.42,607.1,0.0,1.775,0.0,laminar
0.045484,0.08925,461920.0,0.5067,68.0927,0.69078,0.06546,2.4399,0.0022787,236.92,606.7,0.0,1.775,0.0,laminar
0.05065,0.099901,517045.0,0.47252,70.3408,0.71358,0.06987,2.5108,0.0018827,261.05,606.3,0.0,1.775,0.0,laminar
0.056079,0.111044,574720.0,0.44042,72.3915,0.73439,0.07416,2.5628,0.0016089,284.96,605.9,0.0634,1.775,0.0,laminar
0.061766,0.122676,634922.0,0.41021,74.2724,0.75347,0.07814,2.5722,0.0014703,307.88,605.3,0.2396,1.775,0.0,laminar
0.067708,0.134791,697625.0,0.3817,76.0066,0.77106,0.08178,2.5414,0.0014315,329.55,604.5,0.2651,1.775,0.0,laminar
0.073903,0.147384,762800.0,0.35474,77.6129,0.78736,0.08519,2.4933,0.0014358,350.37,603.7,0.0346,1.775,0.0,laminar
0.080345,0.160448,830414.0,0.32917,79.1074,0.80252,0.08854,2.4484,0.0014391,370.96,603.0,0.0,1.775,0.0,laminar
0.087031,0.173976,900432.0,0.30488,80.5033,0.81668,0.09193,2.4155,0.0014227,391.79,602.3,0.0,1.775,0.0,laminar
0.093957,0.187963,972818.0,0.28175,81.8117,0.82995,0.09541,2.3949,0.0013863,413.04,601.8,0.0,1.775,0.0,laminar
