x_c,arc_s_m,Re_x,Cp,Ue_ms,Ue_Uinf,theta_mm,H_shape,Cf,Re_theta,Re_theta_trans,n_factor,n_crit,intermittency_gamma,state
0.004894,0.0,0.0,1.02251,0.0001,0.0,1e-05,2.61,8012119.8619982,0.0,570.5,0.0,1.775,0.0,laminar
0.003356,0.004446,23009.0,1.0006,13.718,0.13916,0.03686,2.0,0.0296184,27.13,617.4,0.0,1.775,0.0,laminar
0.002109,0.008539,44194.0,0.92075,30.0215,0.30456,0.03686,2.1319,0.0135541,59.29,617.4,0.0,1.775,0.0,laminar
0.001152,0.012335,63840.0,0.7599,48.4227,0.49123,0.0195,2.1721,0.015133,50.43,617.4,0.0,1.775,0.0,laminar
0.000487,0.015903,82306.0,0.50294,68.3433,0.69332,0.01897,2.2754,0.0096987,68.92,616.7,0.0,1.775,0.0,laminar
0.000114,0.019326,100025.0,0.15816,88.4952,0.89775,0.01914,2.296,0.0072794,89.42,616.1,0.0,1.775,0.0,laminar
3.2e-05,0.022701,117489.0,-0.23324,107.1268,1.08676,0.01956,2.2922,0.0059579,109.8,615.1,0.0,1.775,0.0,laminar
0.000243,0.026124,135209.0,-0.60916,122.621,1.24395,0.02035,2.2888,0.0050644,129.73,613.0,0.0,1.775,0.0,laminar
0.000745,0.029692,153675.0,-0.91631,134.1236,1.36064,0.02166,2.3071,0.0042763,150.06,609.7,0.0,1.775,0.0,laminar
0.001539,0.033488,173322.0,-1.13167,141.7199,1.4377,0.02378,2.4124,0.0032298,173.28,605.5,0.0,1.775,0.0,laminar
0.002623,0.037582,194510.0,-1.26084,146.121,1.48235,0.02628,2.4653,0.0026516,196.89,599.2,0.0,1.775,0.0,laminar
0.003998,0.042029,217525.0,-1.32353,148.2192,1.50363,0.02923,2.4839,0.002296,221.85,591.3,0.0,1.775,0.0,laminar
0.005663,0.046871,242585.0,-1.3411,148.8028,1.50955,0.03274,2.5099,0.0019735,249.34,582.6,0.0,1.775,0.0,laminar
0.007616,0.05214,269857.0,-1.33078,148.4603,1.50608,0.03686,2.5689,0.0016232,280.13,573.8,0.0845,1.775,0.0,laminar
0.009856,0.057861,299465.0,-1.30471,147.5916,1.49727,0.04134,2.6172,0.0013625,312.52,546.3,0.4869,1.775,0.0,laminar
0.012383,0.064051,331500.0,-1.27074,146.4538,1.48572,0.04611,2.6605,0.0011594,346.18,517.6,1.0563,1.775,0.0,laminar
0.015194,0.070722,366028.0,-1.23373,145.2061,1.47307,0.05111,2.7013,0.0009955,380.74,498.4,1.8206,1.775,0.0,laminar
0.018288,0.077884,403098.0,-1.19657,143.9444,1.46027,0.05625,2.7394,0.0008641,415.76,485.8,2.6828,1.775,0.0,laminar
0.021663,0.085544,442742.0,-1.16087,142.7243,1.44789,0.06148,2.7718,0.0007609,450.85,477.8,3.7973,1.775,0.0,laminar
0.025317,0.093705,484980.0,-1.12752,141.5766,1.43625,0.06672,2.7968,0.0006814,484.82,473.3,5.7648,1.775,0.0,transitional
0.029249,0.10237,529825.0,-1.09691,140.5166,1.42549,0.07261,2.746,0.0008129,524.04,,0.0,1.775,0.05049,transitional
0.033455,0.111539,577280.0,-1.06918,139.5507,1.41569,0.08312,2.5569,0.0012813,596.19,,0.0,1.775,0.19704,transitional
0.037934,0.121211,627342.0,-1.04431,138.6794,1.40686,0.10175,2.2726,0.0019455,725.64,,0.0,1.775,0.40671,transitional
0.042683,0.131386,680002.0,-1.02217,137.9003,1.39895,0.12853,1.9713,0.0026078,911.88,,0.0,1.775,0.62459,transitional
0.047699,0.14206,735247.0,-1.00261,137.2088,1.39194,0.16003,1.7252,0.0031085,1130.17,,0.0,1.775,0.80079,transitional
0.05298,0.15323,793059.0,-0.98544,136.5998,1.38576,0.1919,1.5664,0.0033906,1349.78,,0.0,1.775,0.91327,transitional
0.058522,0.164893,853418.0,-0.97049,136.0674,1.38036,0.22158,1.4846,0.0034931,1552.94,,0.0,1.775,0.96971,transitional
0.064323,0.177042,916298.0,-0.95757,135.606,1.37568,0.24889,1.4502,0.0034925,1738.93,,0.0,1.775,0.99171,turbulent
0.070379,0.189673,981673.0,-0.94651,135.2098,1.37166,0.27487,1.4368,0.0034507,1915.28,,0.0,1.775,0.99826,turbulent
0.076686,0.202781,1049512.0,-0.93714,134.8735,1.36825,0.30044,1.4305,0.0033997,2088.73,,0.0,1.775,0.99973,turbulent
0.083242,0.216358,1119782.0,-0.9293,134.5916,1.36539,0.32607,1.426,0.0033503,2262.53,,0.0,1.775,0.99997,turbulent
0.090042,0.230398,1192449.0,-0.92285,134.3595,1.36303,0.35186,1.4219,0.0033049,2437.62,,0.0,1.775,1.0,turbulent
0.097084,0.244894,1267475.0,-0.91766,134.1723,1.36113,0.37782,1.4181,0.0032632,2614.13,,0.0,1.775,1.0,turbulent
0.104362,0.259839,1344820.0,-0.9136,134.0257,1.35965,0.40393,1.4143,0.0032248,2792.02,,0.0,1.775,1.0,turbulent
0.111873,0.275223,1424444.0,-0.91055,133.9155,1.35853,0.43018,1.4108,0.0031892,2971.22,,0.0,1.775,1.0,turbulent
0.119612,0.29104,1506305.0,-0.9084,133.8379,1.35774,0.45655,1.4073,0.0031561,3151.67,,0.0,1.775,1.0,turbulent
0.127576,0.30728,1590357.0,-0.90705,133.7891,1.35724,0.48303,1.4041,0.003125,3333.34,,0.0,1.775,1.0,turbulent
0.13576,0.323934,1676555.0,-0.90641,133.7656,1.35701,0.50961,1.4009,0.0030958,3516.2,,0.0,1.775,1.0,turbulent
0.144159,0.340995,1764851.0,-0.90636,133.7641,1.35699,0.53629,1.3979,0.0030681,3700.24,,0.0,1.775,1.0,turbulent
0.152769,0.358451,1855197.0,-0.90684,133.7814,1.35717,0.56307,1.395,0.0030419,3885.47,,0.0,1.775,1.0,turbulent
0.161585,0.376293,1947542.0,-0.90776,133.8145,1.3575,0.58996,1.3923,0.0030168,4071.91,,0.0,1.775,1.0,turbulent
0.170602,0.394512,2041835.0,-0.90903,133.8605,1.35797,0.61695,1.3897,0.0029928,4259.57,,0.0,1.775,1.0,turbulent
0.179815,0.413097,2138024.0,-0.91058,133.9166,1.35854,0.64407,1.3872,0.0029697,4448.51,,0.0,1.775,1.0,turbulent
0.189218,0.432038,2236056.0,-0.91234,133.9802,1.35918,0.67132,1.3848,0.0029473,4638.76,,0.0,1.775,1.0,turbulent
0.198807,0.451325,2335876.0,-0.91424,134.0487,1.35988,0.69873,1.3826,0.0029257,4830.39,,0.0,1.775,1.0,turbulent
