x_c,arc_s_m,Re_x,Cp,Ue_ms,Ue_Uinf,theta_mm,H_shape,Cf,Re_theta,Re_theta_trans,n_factor,n_crit,intermittency_gamma,state
0.001152,0.0,0.0,1.04845,0.6744,0.00544,1e-05,2.61,2491.9079902,0.0,,0.0,8.184,0.0,laminar
0.002109,0.003881,12308.0,1.02174,20.2749,0.1636,0.04104,2.2362,0.0330425,21.27,,0.0,8.184,0.0,laminar
0.003356,0.008065,25580.0,0.95967,36.8968,0.29772,0.03638,2.2186,0.0210044,34.23,,0.0,8.184,0.0,laminar
0.004894,0.01261,39995.0,0.88056,50.6376,0.4086,0.03805,2.2577,0.0139644,48.97,,0.0,8.184,0.0,laminar
0.006721,0.017559,55690.0,0.79679,61.87,0.49924,0.04063,2.3373,0.0096899,63.69,,0.0,8.184,0.0,laminar
0.008836,0.022944,72769.0,0.71538,71.0377,0.57321,0.0429,2.3401,0.0079902,76.96,,0.0,8.184,0.0,laminar
0.011238,0.028789,91307.0,0.63968,78.5541,0.63386,0.04585,2.3418,0.0067656,90.69,,0.0,8.184,0.0,laminar
0.013926,0.035112,111363.0,0.57091,84.7661,0.68399,0.04965,2.3285,0.005906,105.69,,0.0,8.184,0.0,laminar
0.016897,0.041927,132977.0,0.50913,89.9507,0.72582,0.05473,2.4177,0.0045057,123.35,,0.0,8.184,0.0,laminar
0.020152,0.049242,156178.0,0.45385,94.324,0.76111,0.05969,2.443,0.0038191,140.78,,0.0,8.184,0.0,laminar
0.023686,0.057064,180987.0,0.4044,98.0531,0.7912,0.06447,2.4165,0.0035292,157.75,,0.0,8.184,0.0,laminar
0.027499,0.065397,207415.0,0.36006,101.267,0.81713,0.06935,2.3929,0.0032811,174.98,,0.0,8.184,0.0,laminar
0.031587,0.074243,235470.0,0.32012,104.0654,0.83972,0.07483,2.4227,0.0028505,193.72,,0.0,8.184,0.0,laminar
0.035949,0.083601,265152.0,0.28397,106.5262,0.85957,0.08031,2.4443,0.0025252,212.54,,0.0,8.184,0.0,laminar
0.040582,0.093473,296459.0,0.25107,108.7102,0.87719,0.0857,2.4516,0.0022997,231.17,,0.0,8.184,0.0,laminar
0.045484,0.103854,329385.0,0.22097,110.6655,0.89297,0.09098,2.4464,0.0021446,249.55,,0.0,8.184,0.0,laminar
0.05065,0.114743,363920.0,0.19326,112.4302,0.90721,0.0962,2.4362,0.0020257,267.8,,0.0,8.184,0.0,laminar
0.056079,0.126135,400053.0,0.16762,114.0349,0.92016,0.1014,2.4267,0.0019202,286.06,,0.0,8.184,0.0,laminar
