x_c,arc_s_m,Re_x,Cp,Ue_ms,Ue_Uinf,theta_mm,H_shape,Cf,Re_theta,Re_theta_trans,n_factor,n_crit,intermittency_gamma,state
0.001152,0.0,0.0,1.04617,0.0001,0.0,1e-05,2.61,16804859.1563012,0.0,,0.0,7.584,0.0,laminar
0.000487,0.003568,11069.0,1.01316,20.0708,0.16195,0.03955,2.0241,0.0395983,20.3,,0.0,7.584,0.0,laminar
0.000114,0.006992,21690.0,0.90808,42.8114,0.34545,0.02492,2.2065,0.0268725,27.17,,0.0,7.584,0.0,laminar
3.2e-05,0.010366,32158.0,0.7343,64.9848,0.52437,0.02588,2.2854,0.0154982,42.58,,0.0,7.584,0.0,laminar
0.000243,0.01379,42779.0,0.51697,85.1945,0.68744,0.02686,2.2504,0.0120106,57.47,,0.0,7.584,0.0,laminar
0.000745,0.017357,53848.0,0.2919,102.2594,0.82514,0.02854,2.3247,0.0086294,72.7,,0.0,7.584,0.0,laminar
0.001539,0.021154,65625.0,0.08874,115.7386,0.93391,0.0304,2.3354,0.0071148,86.95,,0.0,7.584,0.0,laminar
0.002623,0.025247,78325.0,-0.07775,125.8607,1.01558,0.0329,2.3331,0.0061026,101.68,,0.0,7.584,0.0,laminar
0.003998,0.029694,92120.0,-0.20578,133.2104,1.07489,0.03613,2.346,0.0051896,117.58,,0.0,7.584,0.0,laminar
0.005663,0.034536,107142.0,-0.30047,138.4449,1.11713,0.04032,2.4237,0.0040589,135.86,,0.0,7.584,0.0,laminar
0.007616,0.039806,123489.0,-0.36904,142.1412,1.14695,0.04478,2.4492,0.0034522,154.48,,0.0,7.584,0.0,laminar
0.009856,0.045526,141236.0,-0.41827,144.75,1.168,0.04956,2.4539,0.0030503,173.75,,0.0,7.584,0.0,laminar
0.012383,0.051716,160438.0,-0.45363,146.6018,1.18295,0.05492,2.493,0.0025849,194.69,,0.0,7.584,0.0,laminar
0.015194,0.058387,181135.0,-0.47922,147.9317,1.19368,0.06044,2.5174,0.0022554,216.0,,0.0,7.584,0.0,laminar
0.018288,0.06555,203355.0,-0.49805,148.9041,1.20152,0.06606,2.5272,0.0020253,237.43,,0.0,7.584,0.0,laminar
0.021663,0.073209,227118.0,-0.51224,149.6337,1.20741,0.07174,2.5295,0.0018514,258.94,,0.0,7.584,0.0,laminar
0.025317,0.08137,252436.0,-0.52328,150.2001,1.21198,0.07747,2.5306,0.0017063,280.56,,0.0,7.584,0.0,laminar
0.029249,0.090035,279317.0,-0.53225,150.6588,1.21568,0.08323,2.5326,0.0015796,302.24,,0.0,7.584,0.0,laminar
0.033455,0.099204,307762.0,-0.53989,151.0488,1.21883,0.089,2.5352,0.0014688,323.91,,0.0,7.584,0.0,laminar
0.037934,0.108877,337769.0,-0.54673,151.3971,1.22164,0.09473,2.5375,0.0013727,345.49,,0.0305,7.584,0.0,laminar
0.042683,0.119051,369334.0,-0.55314,151.7229,1.22427,0.10042,2.539,0.0012901,366.91,,0.0761,7.584,0.0,laminar
0.047699,0.129725,402448.0,-0.55937,152.0393,1.22682,0.10603,2.5393,0.0012191,388.14,,0.1332,7.584,0.0,laminar
0.05298,0.140896,437102.0,-0.56561,152.3556,1.22937,0.11157,2.5384,0.0011579,409.14,,0.2006,7.584,0.0,laminar
0.058522,0.152558,473282.0,-0.57197,152.678,1.23198,0.11701,2.5365,0.0011048,429.89,,0.2766,7.584,0.0,laminar
0.064323,0.164707,510973.0,-0.57855,153.0105,1.23466,0.12236,2.5337,0.0010585,450.4,,0.3393,7.584,0.0,laminar
0.070379,0.177339,550159.0,-0.58539,153.3556,1.23744,0.12762,2.5302,0.0010176,470.66,,0.4031,7.584,0.0,laminar
0.076686,0.190446,590823.0,-0.59252,153.7148,1.24034,0.13277,2.5262,0.0009814,490.67,,0.4602,7.584,0.0,laminar
0.083242,0.204023,632943.0,-0.59995,154.0885,1.24336,0.13783,2.5218,0.0009489,510.44,,0.5092,7.584,0.0,laminar
0.090042,0.218063,676500.0,-0.60768,154.4766,1.24649,0.14279,2.5171,0.0009195,529.97,,0.5497,7.584,0.0,laminar
0.097084,0.23256,721471.0,-0.6157,154.8785,1.24973,0.14766,2.5125,0.0008928,549.28,,0.5856,7.584,0.0,laminar
0.104362,0.247504,767833.0,-0.62399,155.2932,1.25308,0.15244,2.5078,0.0008682,568.38,,0.6087,7.584,0.0,laminar
0.111873,0.262888,815561.0,-0.63253,155.7195,1.25652,0.15713,2.5031,0.0008455,587.27,,0.6343,7.584,0.0,laminar
0.119612,0.278705,864629.0,-0.64128,156.1558,1.26004,0.16174,2.4986,0.0008244,605.98,,0.6494,7.584,0.0,laminar
0.127576,0.294945,915011.0,-0.65023,156.6004,1.26363,0.16628,2.4942,0.0008046,624.51,,0.6616,7.584,0.0,laminar
0.13576,0.3116,966679.0,-0.65932,157.0516,1.26727,0.17075,2.4901,0.0007858,642.88,,0.6635,7.584,0.0,laminar
0.144159,0.32866,1019604.0,-0.66853,157.5075,1.27095,0.17515,2.4864,0.000768,661.11,,0.6664,7.584,0.0,laminar
0.152769,0.346116,1073758.0,-0.6778,157.9661,1.27465,0.17949,2.4829,0.0007509,679.21,,0.6645,7.584,0.0,laminar
0.161585,0.363958,1129111.0,-0.68712,158.4253,1.27835,0.18379,2.4799,0.0007346,697.19,,0.6534,7.584,0.0,laminar
0.170602,0.382177,1185631.0,-0.69642,158.883,1.28204,0.18803,2.4772,0.0007188,715.08,,0.6468,7.584,0.0,laminar
0.179815,0.400762,1243288.0,-0.70566,159.3372,1.28571,0.19224,2.4749,0.0007034,732.88,,0.6255,7.584,0.0,laminar
0.189218,0.419703,1302050.0,-0.71481,159.7856,1.28933,0.19642,2.4731,0.0006884,750.63,,0.6039,7.584,0.0,laminar
0.198807,0.43899,1361883.0,-0.72381,160.2262,1.29288,0.20058,2.4718,0.0006737,768.33,,0.5838,7.584,0.0,laminar
0.208576,0.458611,1422754.0,-0.73263,160.6567,1.29636,0.20472,2.4709,0.0006593,786.0,,0.5662,7.584,0.0,laminar
0.218519,0.478557,1484631.0,-0.74121,161.0749,1.29973,0.20886,2.4706,0.000645,803.67,,0.5442,7.584,0.0,laminar
0.228631,0.498815,1547479.0,-0.74951,161.4789,1.30299,0.21299,2.4709,0.000631,821.34,,0.5329,7.584,0.0,laminar
0.238906,0.519375,1611262.0,-0.75749,161.8664,1.30612,0.21714,2.4717,0.000617,839.04,,0.5283,7.584,0.0,laminar
0.249338,0.540226,1675947.0,-0.7651,162.2354,1.3091,0.2213,2.4732,0.000603,856.8,,0.5401,7.584,0.0,laminar
0.259922,0.561355,1741497.0,-0.77229,162.5838,1.31191,0.22549,2.4752,0.0005891,874.62,,0.5666,7.584,0.0,laminar
0.27065,0.582752,1807876.0,-0.77904,162.9098,1.31454,0.22971,2.478,0.0005753,892.53,,0.6176,7.584,0.0,laminar
0.281518,0.604404,1875049.0,-0.78528,163.2113,1.31697,0.23398,2.4813,0.0005613,910.54,,0.685,7.584,0.0,laminar
0.292518,0.626301,1942979.0,-0.79099,163.4865,1.31919,0.2383,2.4854,0.0005474,928.69,,0.7675,7.584,0.0,laminar
0.303644,0.64843,2011629.0,-0.79612,163.7337,1.32119,0.24268,2.4903,0.0005333,946.99,,0.8653,7.584,0.0,laminar
0.31489,0.670778,2080961.0,-0.80063,163.9512,1.32294,0.24714,2.4961,0.0005191,965.45,,0.9798,7.584,0.0,laminar
0.326249,0.693335,2150938.0,-0.8045,164.1373,1.32444,0.25167,2.5027,0.0005049,984.12,,1.1142,7.584,0.0,laminar
0.337715,0.716087,2221523.0,-0.8077,164.2906,1.32568,0.2563,2.5102,0.0004904,1002.99,,1.2695,7.584,0.0,laminar
0.34928,0.739023,2292676.0,-0.81018,164.4098,1.32664,0.26102,2.5187,0.0004758,1022.11,,1.4399,7.584,0.0,laminar
0.360938,0.762129,2364360.0,-0.81192,164.4934,1.32732,0.26585,2.5284,0.000461,1041.5,,1.6351,7.584,0.0,laminar
0.372681,0.785394,2436536.0,-0.8129,164.5404,1.32769,0.27081,2.5391,0.000446,1061.17,,1.8535,7.584,0.0,laminar
0.384503,0.808806,2509165.0,-0.81309,164.5497,1.32777,0.2759,2.5511,0.0004307,1081.15,,2.0953,7.584,0.0,laminar
0.396397,0.83235,2582208.0,-0.81248,164.5204,1.32753,0.28113,2.5647,0.0004152,1101.48,,2.3589,7.584,0.0,laminar
0.408355,0.856016,2655625.0,-0.81105,164.4517,1.32698,0.28651,2.5795,0.0003994,1122.17,,2.6438,7.584,0.0,laminar
0.420371,0.879789,2729377.0,-0.80878,164.3429,1.3261,0.29206,2.5964,0.0003832,1143.26,,2.9544,7.584,0.0,laminar
0.432436,0.903657,2803423.0,-0.80567,164.1934,1.3249,0.29779,2.615,0.0003667,1164.78,,3.2945,7.584,0.0,laminar
0.444544,0.927607,2877723.0,-0.80171,164.003,1.32336,0.30371,2.636,0.0003498,1186.77,,3.6658,7.584,0.0,laminar
0.456686,0.951626,2952238.0,-0.7969,163.7712,1.32149,0.30983,2.6594,0.0003324,1209.25,,4.0628,7.584,0.0,laminar
0.468857,0.975701,3026926.0,-0.79122,163.498,1.31928,0.31618,2.6853,0.0003145,1232.26,,4.5012,7.584,0.0,laminar
0.481047,0.999818,3101746.0,-0.7847,163.1833,1.31674,0.32276,2.715,0.0002961,1255.86,,4.9756,7.584,0.0,laminar
0.49325,1.023965,3176657.0,-0.77732,162.8271,1.31387,0.3296,2.7487,0.000277,1280.07,,5.5045,7.584,0.0,laminar
0.505459,1.048128,3251618.0,-0.76911,162.4298,1.31066,0.33671,2.7874,0.0002571,1304.96,,6.0907,7.584,0.0,laminar
0.517664,1.072294,3326588.0,-0.76007,161.9916,1.30713,0.34412,2.8321,0.0002363,1330.59,,6.7546,7.584,0.0,laminar
0.52986,1.096449,3401524.0,-0.75021,161.5129,1.30327,0.35184,2.8845,0.0002145,1357.02,,7.5033,7.584,0.0,laminar
0.542038,1.12058,3476384.0,-0.73956,160.9944,1.29908,0.35991,2.9469,0.0001913,1380.37,,8.3561,7.584,0.0,transitional
0.554191,1.144672,3551128.0,-0.72812,160.4365,1.29458,0.36851,3.016,0.0001817,1409.18,,0.0,7.584,0.00486,transitional
0.566311,1.168714,3625711.0,-0.71592,159.8401,1.28977,0.37852,3.0888,0.0002015,1442.87,,0.0,7.584,0.01927,transitional
0.578391,1.19269,3700093.0,-0.70299,159.2059,1.28465,0.39102,3.1758,0.0002474,1485.46,,0.0,7.584,0.04273,transitional
0.590423,1.216587,3774230.0,-0.68934,158.5348,1.27923,0.407,3.309,0.0003128,1540.61,,0.0,7.584,0.07448,transitional
0.6024,1.240392,3848080.0,-0.675,157.8277,1.27353,0.42745,3.7069,0.0003772,1611.82,,0.0,7.584,0.11356,transitional
0.614314,1.264091,3921600.0,-0.66001,157.0856,1.26754,0.45301,3.5906,0.0005188,1701.33,,0.0,7.584,0.15882,transitional
0.626158,1.287669,3994749.0,-0.64438,156.3096,1.26128,0.48399,3.4616,0.0006717,1809.95,,0.0,7.584,0.20899,transitional
0.637925,1.311114,4067482.0,-0.62814,155.5007,1.25475,0.52053,3.3233,0.0008312,1937.92,,0.0,7.584,0.26277,transitional
0.649607,1.334412,4139757.0,-0.61134,154.6601,1.24797,0.56259,3.1792,0.0009929,2084.71,,0.0,7.584,0.31885,transitional
0.661198,1.357548,4211533.0,-0.59399,153.7888,1.24094,0.60995,3.0326,0.0011528,2249.22,,0.0,7.584,0.37597,transitional
